Date,score
2021-01-05,-0.01734962957490756
2021-01-06,-0.03350737972192271
2021-01-07,-0.005815383596806778
2021-01-08,-0.024284691423978638
2021-01-09,-0.040616557220818285
2021-01-10,-0.003477655093216625
2021-01-11,-0.023122630845318997
2021-01-12,-0.009380259722683637
2021-01-13,-0.008641214425696394
2021-01-14,-0.03832326595839793
2021-01-15,-0.024890726897994875
2021-01-16,-0.0052114125724961324
2021-01-17,-0.00571312926600757
2021-01-18,-0.006353338913966722
2021-01-19,0.0020892055534888674
2021-01-20,-0.020776485023256352
2021-01-21,-0.011341129243656453
2021-01-22,-0.001015680329693014
2021-01-23,-0.011610769396742326
2021-01-24,0.0044207846192165405
2021-01-25,-0.027001909575693372
2021-01-26,-0.01610510102774017
2021-01-27,-0.006392006863455979
2021-01-28,-0.027449260737314463
2021-01-29,-0.0031481109907235774
2021-01-30,-0.010279881018519324
2021-01-31,-0.01227200362344183
2021-02-01,-0.02045807054757402
2021-02-02,-0.0025719490349647898
2021-02-03,-0.013381036364372415
2021-02-04,-0.01859543655310995
2021-02-05,-0.0032568100637282438
2021-02-06,-0.01639173452174625
2021-02-07,-0.0010299414680248569
2021-02-08,-0.011474346775695884
2021-02-09,-0.015895472171204128
2021-02-10,-0.01787363938811411
2021-02-11,-0.015558466245009487
2021-02-12,-0.012255691558745285
2021-02-13,-0.038518844774440786
2021-02-14,-0.019361460888101423
2021-02-15,-0.017734729285145818
2021-02-16,-0.024377076031802097
2021-02-17,-0.022329444605036126
2021-02-18,-0.03177227795683779
2021-02-19,-0.018992862399417332
2021-02-20,-0.019940885272288728
2021-02-21,-0.012709494759600778
2021-02-22,-0.013321647764885166
2021-02-23,-0.014074907442738796
2021-02-24,-0.02185983181506797
2021-02-25,-0.004093962689262469
2021-02-26,-0.024146152271181998
2021-02-27,0.003647679596083068
2021-02-28,-0.012169797009080866
2021-03-01,-0.020466523975766315
2021-03-02,-0.01844648605401659
2021-03-03,-0.025786203699351584
2021-03-04,-0.004707816863302461
2021-03-05,-0.013272792030276684
2021-03-06,-0.017330341870444983
2021-03-07,-0.0010359472439434396
2021-03-08,0.0065324110162852484
2021-03-09,-0.0006822867343336814
2021-03-10,-0.035113947680536994
2021-03-11,-0.03047320774859737
2021-03-12,-0.00862095153141429
2021-03-13,-0.015914823331265187
2021-03-14,-0.039900835333307426
2021-03-15,-0.020883421926699414
2021-03-16,-0.008644071363324604
2021-03-17,-0.013385577882369529
2021-03-18,-0.012713637117813925
2021-03-19,-0.010323158392889073
2021-03-20,-0.001681393558515006
2021-03-21,-0.010761835445670368
2021-03-22,-0.02103084993113428
